DATE_HOUR,Impressions,Conversions
2021-09-24-12,1598,40
2021-09-24-13,1822,34
2021-09-24-14,2184,35
2021-09-24-15,2188,52
2021-09-24-16,2992,46
2021-09-24-17,2368,57
2021-09-24-18,2660,25
2021-09-24-19,3060,74
2021-09-24-20,3100,75
2021-09-24-21,2917,45
2021-09-24-22,3352,56
2021-09-24-23,6929,87
2021-09-25-00,4908,62
2021-09-25-01,10013,152
2021-09-25-02,21956,162
2021-09-25-03,5552,75
2021-09-25-04,5878,110
2021-09-25-05,8104,136
2021-09-25-06,2346,73
2021-09-25-07,2704,48
2021-09-25-08,91,5
2021-09-25-09,1855,41
2021-09-25-10,1939,33
2021-09-25-11,4134,33
2021-09-25-12,3082,91
2021-09-25-13,6409,59
2021-09-25-14,2983,51
2021-09-25-15,2816,60
2021-09-25-16,6618,64
2021-09-25-17,7190,154
2021-09-25-18,3728,49
2021-09-25-19,5755,94
2021-09-25-20,3747,83
2021-09-25-21,3979,53
2021-09-25-22,3713,79
2021-09-25-23,4414,71
2021-09-26-00,3647,60
2021-09-26-01,4629,70
2021-09-26-02,4513,89
2021-09-26-03,3976,72
2021-09-26-04,3839,91
2021-09-26-05,2414,59
2021-09-26-06,1808,45
2021-09-26-07,2620,36
2021-09-26-08,1888,40
2021-09-26-09,1298,30
2021-09-26-10,1708,37
2021-09-26-11,1582,43
2021-09-26-12,1330,31
2021-09-26-13,1545,60
2021-09-26-14,2634,52
2021-09-26-15,5836,110
2021-09-26-16,3329,62
2021-09-26-17,3323,70
2021-09-26-18,2716,57
2021-09-26-19,2944,91
2021-09-26-20,5785,66
2021-09-26-21,9611,116
2021-09-26-22,2934,72
2021-09-26-23,3512,58
2021-09-27-00,7288,95
2021-09-27-01,5876,112
2021-09-27-02,5816,93
2021-09-27-03,5442,100
2021-09-27-04,3521,80
2021-09-27-05,2452,73
2021-09-27-06,1483,63
2021-09-27-07,1575,47
2021-09-27-08,1156,26
2021-09-27-09,1073,22
2021-09-27-10,1386,22
2021-09-27-11,1096,49
2021-09-27-12,1335,19
2021-09-27-13,1562,51
2021-09-27-14,7727,41
2021-09-27-15,6092,40
2021-09-27-16,9813,59
2021-09-27-17,4663,60
2021-09-27-18,3294,57
2021-09-27-19,4410,93
2021-09-27-20,6723,44
2021-09-27-21,10732,81
2021-09-27-22,17336,78
2021-09-27-23,16020,56
2021-09-28-00,18449,60
2021-09-28-01,24025,87
2021-09-28-02,6130,66
2021-09-28-03,7271,102
2021-09-28-04,7425,56
2021-09-28-05,3894,50
2021-09-28-06,1691,45
2021-09-28-07,3670,40
2021-09-28-08,3366,26
2021-09-28-09,1010,24
2021-09-28-10,1699,19
2021-09-28-11,1428,18
2021-09-28-12,1248,24
2021-09-28-13,1366,22
2021-09-28-14,1579,29
2021-09-28-15,8853,44
2021-09-28-16,2016,35
2021-09-28-17,1845,32
2021-09-28-18,4396,54
2021-09-28-19,2741,43
2021-09-28-20,2448,82
2021-09-28-21,11157,54
2021-09-28-22,2575,58
2021-09-28-23,15534,75
2021-09-29-00,4758,70
2021-09-29-01,16347,57
2021-09-29-02,25920,74
2021-09-29-03,11899,52
2021-09-29-04,15542,71
2021-09-29-05,12812,95
2021-09-29-06,4694,35
2021-09-29-07,5436,22
2021-09-29-08,1792,38
2021-09-29-09,1381,29
2021-09-29-10,2035,54
2021-09-29-11,989,23
2021-09-29-12,1790,28
2021-09-29-13,1579,31
2021-09-29-14,1412,46
2021-09-29-15,2142,45
2021-09-29-16,1625,29
2021-09-29-17,648,29
2021-09-29-18,1195,26
2021-09-29-19,5809,20
2021-09-29-20,18765,44
2021-09-29-21,1800,50
2021-09-29-22,12768,56
2021-09-29-23,24446,60
2021-09-30-00,2614,56
2021-09-30-01,5193,49
2021-09-30-02,6767,86
2021-09-30-03,2156,58
2021-09-30-04,3434,51
2021-09-30-05,4480,30
2021-09-30-06,7356,33
2021-09-30-07,1002,31
2021-09-30-08,3987,34
2021-09-30-09,2625,25
2021-09-30-10,529,17
2021-09-30-11,1033,18
2021-09-30-12,484,16
2021-09-30-13,591,26
2021-09-30-14,633,15
2021-09-30-15,443,17
2021-09-30-16,12234,44
2021-09-30-17,1106,31
2021-09-30-18,948,18
2021-09-30-19,3704,41
2021-09-30-20,898,27
2021-09-30-21,10453,42
2021-09-30-22,2608,30
2021-09-30-23,12319,44
2021-10-01-00,4821,62
2021-10-01-01,3145,37
2021-10-01-02,5229,68
2021-10-01-03,26141,99
2021-10-01-04,13867,55
2021-10-01-05,2816,55
2021-10-01-06,5564,38
2021-10-01-07,5153,39
2021-10-01-08,2630,32
2021-10-01-09,1157,10
2021-10-01-10,1377,19
2021-10-01-11,978,12
2021-10-01-12,453,8
2021-10-01-13,626,23
2021-10-01-14,4628,28
2021-10-01-15,630,17
2021-10-01-16,9219,20
2021-10-01-17,1739,47
2021-10-01-18,1202,32
2021-10-01-19,5809,42
2021-10-01-20,16172,36
2021-10-01-21,1658,39
2021-10-01-22,8614,50
2021-10-01-23,4840,66
2021-10-02-00,17418,62
2021-10-02-01,3963,44
2021-10-02-02,3868,51
2021-10-02-03,13540,61
2021-10-02-04,1643,65
2021-10-02-05,2108,36
2021-10-02-06,7515,50
2021-10-02-07,770,28
2021-10-02-08,4300,27
2021-10-02-09,4811,42
2021-10-02-10,377,13
2021-10-02-11,1442,29
2021-10-02-12,1444,37
2021-10-02-13,2510,36
2021-10-02-14,1445,26
2021-10-02-15,1690,22
2021-10-02-16,1803,26
2021-10-02-17,11038,41
2021-10-02-18,1692,30
2021-10-02-19,1816,34
2021-10-02-20,4753,35
2021-10-02-21,2908,30
2021-10-02-22,11650,44
2021-10-02-23,3184,59
2021-10-03-00,13496,57
2021-10-03-01,5339,59
2021-10-03-02,6772,76
2021-10-03-03,4944,58
2021-10-03-05,2517,72
2021-10-03-06,7488,51
2021-10-03-07,987,44
2021-10-03-08,6214,30
2021-10-03-09,4694,37
